id,latitude,longitude,location,vehicle_number,vehicle_type,description,violation_type,offence_code,created_datetime,closed_datetime,modified_datetime,device_id,created_by_id,center_code,police_station,data_sent_to_scita,junction_name,action_taken_timestamp,data_sent_to_scita_timestamp,updated_vehicle_number,updated_vehicle_type,validation_status,validation_timestamp
FKID000000,12.9255567,77.618665,"18th Main Road, Block 2, Koramangala, Bengaluru, Karnataka. Pin-560068 (India)",FKN00GL0000,CAR,,"[""WRONG PARKING"",""PARKING NEAR ROAD CROSSING""]","[112,104]",2023-11-20 00:28:46+00,,2023-11-28 04:48:04.582978+00,FKDEV00000,FKUSR00000,9.0,Madiwala,True,No Junction,,,FKN00GL0000,MAXI-CAB,approved,2023-11-30 03:08:24.818+00
FKID000001,12.9054633,77.7007781,"Sarjapura Main Road, The Grove, Janatha Colony, Doddakannelli, Bengaluru, Karnataka. Pin-560035 (India)",FKN00GL0001,CAR,,"[""NO PARKING""]",[113],2023-11-24 22:46:46+00,,2023-11-24 23:00:24.115257+00,FKDEV00001,FKUSR00001,82.0,Bellandur,False,No Junction,,,,,,
FKID000002,12.9254492,77.6185035,"Koramangala 2nd Block, Kormangala West, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560034, India",FKN00GL0002,CAR,,"[""WRONG PARKING"",""PARKING IN A MAIN ROAD""]","[112,107]",2023-11-20 00:27:46+00,,2023-11-28 04:47:02.33776+00,FKDEV00000,FKUSR00000,9.0,Madiwala,True,No Junction,,,FKN00GL0002,MAXI-CAB,approved,2023-11-30 03:08:56.998+00
FKID000003,12.956521,77.5186178,"6th Cross Road, Manasa Layout, Nagarbhavi, Bengaluru, Karnataka. Pin-560072 (India)",FKN00GL0003,SCOOTER,,"[""NO PARKING""]",[113],2023-11-16 06:47:46+00,,2023-11-18 04:46:57.216868+00,FKDEV00002,FKUSR00002,26.0,Byatarayanapura,True,No Junction,,,FKN00GL0003,SCOOTER,approved,2023-11-18 23:35:12.428+00
FKID000004,12.9777667,77.5805453,"Kalidasa Road, Gandhinagar, Nehru Nagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560009, India",FKN00GL0004,TANKER,,"[""NO PARKING""]",[113],2023-11-22 04:56:46+00,,2023-11-28 02:44:50.46737+00,FKDEV00003,FKUSR00003,3.0,Upparpet,True,BTP044 - Sagar Theatre Junction,,,FKN00GL0004,TANKER,approved,2023-11-30 03:11:32.796+00
FKID000005,12.9816772,77.6081248,"Dispensary Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",FKN00GL0005,SCOOTER,,"[""NO PARKING""]",[113],2023-11-28 07:04:46+00,,2023-11-28 07:06:06.684969+00,FKDEV00004,FKUSR00004,16.0,Shivajinagar,True,BTP051 - Safina Plaza Junction,,,FKN00GL0005,SCOOTER,approved,2023-11-30 04:32:19.24+00
FKID000006,12.9955535,77.6137265,"1st Cross Road, Silver Enclave, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",FKN00GL0006,SCOOTER,,"[""NO PARKING""]",[113],2023-11-28 06:55:46+00,,2023-11-28 07:05:56.378259+00,FKDEV00005,FKUSR00005,14.0,Pulikeshinagar(F.Town),True,No Junction,,,FKN00GL0006,SCOOTER,approved,2023-11-30 04:32:20.585+00
FKID000007,12.9978696,77.5438903,"Padmabhushan Dr MC Modi Road, Adarsha Layout, Basaveshwara Nagar, Bengaluru, Karnataka. Pin-560079 (India)",FKN00GL0007,SCOOTER,,"[""WRONG PARKING""]",[112],2023-11-28 06:35:46+00,,2023-11-28 07:04:59.161864+00,FKDEV00006,FKUSR00006,30.0,Vijayanagara,True,BTP205 - Modi Hospital Junction,,,FKN00GL0007,SCOOTER,approved,2023-11-30 04:32:49.436+00
FKID000008,12.9954021,77.6139993,"Coles Road, Silver Enclave, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",FKN00GL0008,PASSENGER AUTO,,"[""NO PARKING""]",[113],2023-11-28 06:56:46+00,,2023-11-28 07:04:24.450788+00,FKDEV00005,FKUSR00005,14.0,Pulikeshinagar(F.Town),True,No Junction,,,FKN00GL0008,PASSENGER AUTO,approved,2023-11-30 04:34:24.617+00
FKID000009,12.9954054,77.6140177,"Coles Road, Silver Enclave, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",FKN00GL0009,SCOOTER,,"[""NO PARKING""]",[113],2023-11-28 06:57:46+00,,2023-11-28 07:03:59.927111+00,FKDEV00005,FKUSR00005,14.0,Pulikeshinagar(F.Town),True,No Junction,,,FKN00GL0009,SCOOTER,approved,2023-11-30 04:34:21.682+00
FKID000010,12.9760117,77.5995401,"Sri ML Subbaraju Road, Mahatma Gandhi Circle, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",FKN00GL0010,CAR,,"[""WRONG PARKING""]",[112],2023-12-22 03:04:46+00,,2023-12-22 03:09:54.679433+00,FKDEV00007,FKUSR00007,2.0,Cubbon Park,True,No Junction,,,FKN00GL0010,CAR,rejected,2023-12-22 23:03:56.908+00
FKID000011,12.9977199,77.5444952,"Padmabhushan Dr MC Modi Road, Adarsha Layout, Basaveshwara Nagar, Bengaluru, Karnataka. Pin-560079 (India)",FKN00GL0011,CAR,,"[""WRONG PARKING""]",[112],2023-11-28 06:34:46+00,,2023-11-28 07:03:47.64517+00,FKDEV00006,FKUSR00006,30.0,Vijayanagara,True,BTP205 - Modi Hospital Junction,,,FKN00GL0011,CAR,approved,2023-11-30 04:34:48.021+00
FKID000012,13.0081997,77.6933216,"MBT Road, Devasandra Junction, KR Puram, Bengaluru, Karnataka. Pin-560036 (India)",FKN00GL0012,CAR,,"[""NO PARKING""]",[113],2023-11-17 19:01:46+00,,2023-11-17 19:19:02.241512+00,FKDEV00008,FKUSR00008,15.0,K.R. Pura,True,No Junction,,,FKN00GL0012,CAR,approved,2023-11-17 19:28:16.324+00
FKID000013,12.9815968,77.6079858,"Main Guard Cross Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",FKN00GL0013,PASSENGER AUTO,,"[""NO PARKING""]",[113],2023-11-28 07:01:46+00,,2023-11-28 07:02:53.521097+00,FKDEV00004,FKUSR00004,16.0,Shivajinagar,True,BTP051 - Safina Plaza Junction,,,FKN00GL0013,PASSENGER AUTO,approved,2023-11-30 04:35:40.148+00
FKID000014,12.9705743,77.5760169,"AS Char Main Road, Chickpete, Bengaluru, Karnataka. Pin-560053 (India)",FKN00GL0014,SCOOTER,,"[""NO PARKING""]",[113],2023-12-19 03:51:46+00,,2023-12-19 05:28:08.317588+00,FKDEV00009,FKUSR00009,28.0,City Market,False,BTP043 - Upparpet Junction,,,,,,
FKID000015,12.9943783,77.61564,"Coles Road, Ranka D Paradise, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",FKN00GL0015,SCOOTER,,"[""NO PARKING""]",[113],2023-11-28 06:56:46+00,,2023-11-28 07:00:43.68978+00,FKDEV00010,FKUSR00010,14.0,Pulikeshinagar(F.Town),True,No Junction,,,FKN00GL0015,SCOOTER,approved,2023-11-30 04:37:39.874+00
FKID000016,12.9943783,77.61564,"Coles Road, Ranka D Paradise, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",FKN00GL0016,SCOOTER,,"[""NO PARKING""]",[113],2023-11-28 06:57:46+00,,2023-11-28 07:00:45.101097+00,FKDEV00010,FKUSR00010,14.0,Pulikeshinagar(F.Town),True,No Junction,,,FKN00GL0016,SCOOTER,approved,2023-11-30 04:37:34.994+00
FKID000017,12.994455,77.6155883,"Coles Road, Ranka D Paradise, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",FKN00GL0017,SCOOTER,,"[""NO PARKING""]",[113],2023-11-28 06:57:46+00,,2023-11-28 07:01:28.276715+00,FKDEV00010,FKUSR00010,14.0,Pulikeshinagar(F.Town),True,No Junction,,,FKN00GL0017,SCOOTER,rejected,2023-11-30 04:37:56.68+00
FKID000018,12.994455,77.6155883,"Coles Road, Ranka D Paradise, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",FKN00GL0018,SCOOTER,,"[""NO PARKING""]",[113],2023-11-28 07:00:46+00,,2023-11-28 07:01:28.857912+00,FKDEV00010,FKUSR00010,14.0,Pulikeshinagar(F.Town),True,No Junction,,,FKN00GL0018,SCOOTER,rejected,2023-11-30 04:37:58.282+00
FKID000019,12.912504769635532,77.63381218775751,"17th Cross Road, Sector 7, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",FKN00GL0019,SCOOTER,,"[""WRONG PARKING""]",[112],2023-11-26 08:11:46+00,,2023-11-27 21:01:00.594232+00,FKDEV00011,FKUSR00011,45.0,HSR Layout,True,No Junction,,,FKN00GL0019,SCOOTER,approved,2023-11-30 04:37:54.775+00
FKID000020,12.9818638,77.6076237,"Dispensary Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",FKN00GL0020,SCOOTER,,"[""WRONG PARKING""]",[112],2023-11-17 05:07:46+00,,2023-11-17 05:14:46.028853+00,FKDEV00012,FKUSR00012,16.0,Shivajinagar,True,BTP051 - Safina Plaza Junction,,,FKN00GL0020,SCOOTER,approved,2023-11-18 23:50:57.339+00
FKID000021,12.8788916,77.5455426,"Konanakunte Main Road, SV Jasmine, BCMC Layout, Raghuvanahalli, Bengaluru, Karnataka. Pin-560062 (India)",FKN00GL0021,SCOOTER,,"[""WRONG PARKING""]",[112],2023-11-16 01:03:46+00,,2023-11-18 04:35:36.175195+00,FKDEV00013,FKUSR00013,83.0,Thalagattapura,True,No Junction,,,FKN00GL0021,SCOOTER,rejected,2023-11-18 23:52:14.338+00
FKID000022,13.0081888,77.6940167,"MBT Road, Devasandra Junction, KR Puram, Bengaluru, Karnataka. Pin-560036 (India)",FKN00GL0022,CAR,,"[""NO PARKING""]",[113],2023-11-28 06:47:46+00,,2023-11-28 06:58:07.026088+00,FKDEV00014,FKUSR00014,15.0,K.R. Pura,True,No Junction,,,FKN00GL0022,CAR,approved,2023-11-30 04:39:10.109+00
FKID000023,12.899345,77.6755017,"Amrutha College Road, Azalea, Owners Court Layout, Kasavanahalli, Bengaluru, Karnataka. Pin-560035 (India)",FKN00GL0023,SCOOTER,,"[""NO PARKING""]",[113],2023-11-20 02:20:46+00,,2023-11-20 02:26:14.689345+00,FKDEV00015,FKUSR00015,82.0,Bellandur,False,No Junction,,,,,,
FKID000024,12.934068071777288,77.68976915672452,"Outer Ring Road, Prestige Silver Crest, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",FKN00GL0024,MOTOR CYCLE,,"[""WRONG PARKING"",""NO PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""DOUBLE PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING IN A MAIN ROAD""]","[112,113,111,109,108,107]",2024-03-14 22:43:46+00,,2024-03-14 23:14:11.93647+00,FKDEV00016,FKUSR00016,13.0,HAL Old Airport,True,No Junction,,2024-04-01 17:45:48.438875+00,FKN00GL0024,MOTOR CYCLE,approved,2024-04-12 23:12:41.345+00
FKID000025,12.989134,77.5925278,"Millers Road, BKM Gowda Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",FKN00GL0025,CAR,,"[""WRONG PARKING""]",[112],2023-11-17 22:29:46+00,,2023-11-17 22:34:13.712901+00,FKDEV00017,FKUSR00017,11.0,High ground,True,BTP034 - LRDE Junction,,,FKN00GL0025,CAR,approved,2023-11-18 23:56:21.58+00
FKID000026,12.9765458,77.5774892,"5th Main Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL0026,CAR,,"[""WRONG PARKING""]",[112],2023-11-28 06:46:46+00,,2023-11-28 06:56:30.473282+00,FKDEV00018,FKUSR00018,3.0,Upparpet,True,BTP040 - Elite Junction,,,FKN00GL0026,CAR,approved,2023-11-30 04:40:09.759+00
FKID000027,12.934068071777288,77.68976915672452,"Outer Ring Road, Prestige Silver Crest, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",FKN00GL0027,SCOOTER,,"[""NO PARKING"",""WRONG PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""DOUBLE PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING IN A MAIN ROAD""]","[113,112,111,109,108,107]",2024-03-14 23:10:46+00,,2024-03-14 23:14:14.764896+00,FKDEV00016,FKUSR00016,13.0,HAL Old Airport,True,No Junction,,2024-04-01 17:45:48.456546+00,FKN00GL0027,SCOOTER,approved,2024-04-14 00:00:39.648+00
FKID000028,12.9763636,77.577423,"5th Main Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL0028,CAR,,"[""WRONG PARKING""]",[112],2023-11-28 06:48:46+00,,2023-11-28 06:56:33.260037+00,FKDEV00018,FKUSR00018,3.0,Upparpet,True,BTP040 - Elite Junction,,,FKN00GL0028,CAR,approved,2023-11-30 04:40:16.959+00
FKID000029,12.9766493,77.5773587,"5th Main Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL0029,CAR,,"[""WRONG PARKING""]",[112],2023-11-28 06:44:46+00,,2023-11-28 06:56:28.143198+00,FKDEV00018,FKUSR00018,3.0,Upparpet,True,BTP040 - Elite Junction,,,FKN00GL0029,CAR,approved,2023-11-30 04:40:20.66+00
FKID000030,12.9170676,77.6516121,"27th Main Road, Sector 1, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",FKN00GL0030,SCOOTER,,"[""WRONG PARKING""]",[112],2023-11-17 08:10:46+00,,2023-11-17 19:18:44.598596+00,FKDEV00019,FKUSR00019,45.0,HSR Layout,True,No Junction,,,FKN00GL0030,SCOOTER,approved,2023-11-17 19:28:22.477+00
FKID000031,13.008236,77.6938222,"MBT Road, Devasandra Junction, KR Puram, Bengaluru, Karnataka. Pin-560036 (India)",FKN00GL0031,SCOOTER,,"[""NO PARKING""]",[113],2023-11-17 18:42:46+00,,2023-11-17 19:15:29.162726+00,FKDEV00008,FKUSR00008,15.0,K.R. Pura,True,No Junction,,,FKN00GL0031,SCOOTER,approved,2023-11-17 19:28:57.542+00
FKID000032,12.9739617,77.5783701,"Maharaja Times, 8th Cross Road, Balepet, Chikkapete, Chickpete, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560053, India",FKN00GL0032,CAR,,"[""WRONG PARKING""]",[112],2024-03-10 06:12:46+00,,2024-03-10 08:07:07.025136+00,FKDEV00020,FKUSR00020,3.0,Upparpet,False,BTP044 - Sagar Theatre Junction,,,,,,
FKID000033,13.0665088,77.5702131,"Kodigehalli Road, Virupakshapura, Bengaluru, Karnataka. Pin-560097 (India)",FKN00GL0033,CAR,,"[""WRONG PARKING""]",[112],2024-03-10 05:22:46+00,,2024-03-10 08:08:54.432531+00,FKDEV00021,FKUSR00021,,Kodigehalli,False,No Junction,,,,,,
FKID000034,13.0636063,77.5719658,"Kodigehalli Road, Virupakshapura, Bengaluru, Karnataka. Pin-560097 (India)",FKN00GL0034,CAR,,"[""WRONG PARKING""]",[112],2024-03-10 05:25:46+00,,2024-03-10 08:08:55.27449+00,FKDEV00021,FKUSR00021,,Kodigehalli,False,No Junction,,,,,,
FKID000035,13.0636063,77.5719658,"Kodigehalli Road, Sri Chigaru Marappa Circle, Virupakshapura, Bengaluru, Karnataka. Pin-560097 (India)",FKN00GL0035,CAR,,"[""WRONG PARKING""]",[112],2024-03-10 05:30:46+00,,2024-03-10 08:08:56.201181+00,FKDEV00021,FKUSR00021,,Kodigehalli,False,No Junction,,,,,,
FKID000036,13.0635231,77.5720156,"Kodigehalli Road, Sri Chigaru Marappa Circle, Virupakshapura, Bengaluru, Karnataka. Pin-560097 (India)",FKN00GL0036,GOODS AUTO,,"[""WRONG PARKING""]",[112],2024-03-10 05:30:46+00,,2024-03-10 08:08:56.891983+00,FKDEV00021,FKUSR00021,,Kodigehalli,False,No Junction,,,,,,
